Movie_name,Year_of_release,Certification,Duration,imdb_rating,Genre,Votes,Metascore
Yasuke,2021– ,18,30 min,6.3,"Animation, Action, Adventure","3,480",Not available
 The Family Man,2019– ,16+,Not available,9.3,"Action, Comedy, Drama","3,464",Not available
Silence: Can You Hear It,2021,UA,136 min,6.6,"Crime, Thriller","3,430",Not available
The Mighty Ducks: Game Changers,2021– ,PG,Not available,7.5,"Comedy, Drama, Sport","3,425",Not available
Saina,2021,U,135 min,4.2,"Biography, Drama, Sport","3,413",Not available
Yuvarathnaa,2021,UA,161 min,6.6,"Action, Drama","3,403",Not available
X-Ray: Selected Satyajit Shorts,2021– ,16,65 min,7.7,"Crime, Drama, Thriller","3,401",Not available
Methagu,2021,"
Biography, History            ",Not available,9.8,"Biography, History","3,374",Not available
A Week Away,2021,13,94 min,5.7,"Drama, Family, Musical","3,360",32
Maara,2021,7,149 min,7.7,"Adventure, Drama, Mystery","3,358",Not available
Pelé,2021,13,108 min,7.0,"Documentary, Biography, Sport","3,348",61
Good on Paper,2021,18,92 min,5.6,"Comedy, Romance","3,343",54
Pacific Rim,2021– ,16,24 min,7.1,"Animation, Action, Adventure","3,329",Not available
The Minimalists: Less Is Now,2021,13,53 min,5.9,Documentary,"3,302",Not available
 Mare of Easttown,2021,18,58 min,8.7,"Crime, Drama, Mystery","3,278",Not available
 Jujutsu Kaisen,2020– ,16,24 min,9.6,"Animation, Action, Adventure","3,271",Not available
Horimiya,I 2021– ,24 min,24 min,8.3,"Animation, Comedy, Drama","3,243",Not available
Mushoku-tensei ~Isekai ittara honki dasu~,2021– ,24 min,24 min,8.4,"Animation, Adventure, Fantasy","3,222",Not available
Hello Charlie,2021,7,102 min,5.6,Comedy,"3,179",Not available
Why Did You Kill Me?,2021,16,83 min,5.6,"Documentary, Crime","3,178",Not available
 Superman and Lois,2021– ,64 min,64 min,8.7,"Action, Adventure, Drama","3,164",Not available
This Is a Robbery: The World's Biggest Art Heist,2021,16,210 min,6.5,"Documentary, Crime, History","3,159",Not available
Save Ralph,2021,4 min,4 min,8.6,"Animation, Short","3,155",Not available
Bloodlands,2021,222 min,222 min,6.5,"Crime, Drama, Thriller","3,152",Not available
Calls,2021– ,A,12 min,7.8,"Drama, Horror, Mystery","3,150",Not available
 Cobra Kai,2018– ,A,39 min,9.2,"Action, Comedy, Drama","3,136",Not available
Uppena,2021,UA,147 min,6.8,"Action, Drama, Romance","3,127",Not available
 Mare of Easttown,2021,18,64 min,9.1,"Crime, Drama, Mystery","3,123",Not available
Crashh,2021– ,18,23 min,9.0,Romance,"3,121",Not available
The Box,V 2021,94 min,94 min,8.8,"Drama, Music, Musical","3,120",Not available
In the Earth,2021,R,107 min,5.2,"Horror, Sci-Fi, Thriller","3,115",63
Runaway Lugaai,2021– ,Not Rated,25 min,8.0,"Comedy, Drama","3,108",Not available
Chakra,2021,UA,131 min,7.0,"Action, Crime, Thriller","3,088",Not available
Silk Road,2021,R,112 min,5.9,"Crime, Drama, Thriller","3,087",41
 Lupin,2021– ,16,47 min,7.9,"Action, Crime, Drama","3,069",Not available
Age of Samurai: Battle for Japan,2021– ,18,Not available,7.4,"Documentary, Action, Adventure","3,065",Not available
Konusanlar,2021– ,50 min,50 min,6.8,"Comedy, Talk-Show","3,044",Not available
Il Divin Codino,2021,13,91 min,6.1,"Biography, Drama, Sport","3,033",Not available
 Star Wars: The Bad Batch,2021– ,PG,31 min,7.5,"Animation, Action, Adventure","3,032",Not available
Tina,2021,118 min,118 min,8.1,"Documentary, Biography, History","2,958",81
 Lucifer,2016– ,15,53 min,9.4,"Crime, Drama, Fantasy","2,950",Not available
Mayor Grom: Chumnoy Doktor,2021,13,136 min,6.5,"Action, Adventure","2,937",Not available
Bhoomi,II 2021,U,128 min,5.0,"Action, Drama","2,918",Not available
Marvel Studios: Legends,2021– ,PG,7 min,6.5,"Action, Fantasy, Sci-Fi","2,899",Not available
Q: Into the Storm,2021,353 min,353 min,7.6,Documentary,"2,812",Not available
 Black Clover,2017–2021,13,24 min,9.7,"Animation, Action, Adventure","2,803",Not available
 Mare of Easttown,2021,18,60 min,8.3,"Crime, Drama, Mystery","2,793",Not available
First Signal,2021,102 min,102 min,7.0,"Drama, History, Sci-Fi","2,792",Not available
 Cobra Kai,2018– ,A,32 min,8.2,"Action, Comedy, Drama","2,792",Not available
Law & Order: Organized Crime,2021– ,"
Crime, Drama, Mystery            ",Not available,7.6,"Crime, Drama, Mystery","2,790",Not available
Tunna blå linjen,2021– ,60 min,60 min,8.2,"Crime, Drama","2,790",Not available
 Black Clover,2017–2021,13,24 min,9.7,"Animation, Action, Adventure","2,785",Not available
 Mare of Easttown,2021,18,56 min,8.4,"Crime, Drama, Mystery","2,759",Not available
 Shadow and Bone,2021– ,16,52 min,7.8,"Action, Adventure, Drama","2,727",Not available
Mr. Mayor,2021– ,22 min,22 min,6.3,Comedy,"2,718",Not available
Roberrt,2021,UA,166 min,6.7,"Action, Comedy, Musical","2,694",Not available
"Crack: Cocaine, Corruption & Conspiracy",2021,18,89 min,6.7,"Documentary, Crime, History","2,686",Not available
 Mare of Easttown,2021,18,57 min,8.8,"Crime, Drama, Mystery","2,680",Not available
 Cobra Kai,2018– ,A,30 min,8.9,"Action, Comedy, Drama","2,680",Not available
 The Expanse,2015– ,16+,56 min,8.7,"Drama, Mystery, Sci-Fi","2,679",Not available
Kala,2021,A,130 min,6.9,Thriller,"2,670",Not available
 Star Trek: Discovery,2017– ,15+,62 min,6.3,"Action, Adventure, Drama","2,665",Not available
Breaking News in Yuba County,2021,A,96 min,5.7,"Comedy, Crime, Drama","2,643",24
Xtremo,2021,111 min,111 min,5.8,"Action, Crime, Drama","2,636",Not available
The Misfits,2021,R,94 min,4.1,"Action, Adventure, Thriller","2,619",25
 Cobra Kai,2018– ,A,36 min,8.6,"Action, Comedy, Drama","2,618",Not available
 Cobra Kai,2018– ,A,38 min,8.3,"Action, Comedy, Drama","2,604",Not available
M.O.D.O.K.,2021– ,22 min,22 min,6.3,"Animation, Action, Comedy","2,579",Not available
Great White,2021,91 min,91 min,3.9,"Horror, Thriller","2,578",Not available
Shookum Hills,2021,88 min,88 min,4.2,"Horror, Thriller","2,569",Not available
Together Together,2021,R,90 min,6.5,Comedy,"2,569",72
Vanquish,2021,R,94 min,2.7,"Action, Crime, Thriller","2,567",22
Operation Java,2021,U,146 min,8.3,"Crime, Drama, Thriller","2,563",Not available
Generation,2021– ,"
Comedy, Drama            ",Not available,6.5,"Comedy, Drama","2,562",Not available
 Lucifer,2016– ,15,63 min,9.5,"Crime, Drama, Fantasy","2,548",Not available
Son,2021,98 min,98 min,5.5,"Horror, Thriller","2,542",52
Madame Claude,2021,18,112 min,5.4,"Biography, Crime, Drama","2,525",Not available
Tribhanga,2021,18,95 min,6.1,"Drama, Family","2,523",Not available
 One Piece: Wan pîsu,1999– ,7,24 min,9.6,"Animation, Action, Adventure","2,505",Not available
Rurôni Kenshin: Sai shûshô - The Final,2021,16,138 min,7.3,"Action, Adventure, Drama","2,500",Not available
Secret Magic Control Agency,2021,7,103 min,6.2,"Animation, Adventure, Comedy","2,497",Not available
 Cobra Kai,2018– ,A,32 min,8.0,"Action, Comedy, Drama","2,479",Not available
 Lupin,2021– ,16,52 min,7.8,"Action, Crime, Drama","2,475",Not available
 One Piece: Wan pîsu,1999– ,7,24 min,9.4,"Animation, Action, Adventure","2,467",Not available
Irul,2021,16,91 min,5.8,"Mystery, Thriller","2,467",Not available
Country Comfort,2021– ,13,Not available,6.9,"Comedy, Drama, Family","2,453",Not available
 Star Wars: The Bad Batch,2021– ,PG,28 min,7.9,"Animation, Action, Adventure","2,446",Not available
 Lucifer,2016– ,15,58 min,8.4,"Crime, Drama, Fantasy","2,420",Not available
Big Shot,2021– ,PG,Not available,7.5,"Comedy, Drama, Sport","2,417",Not available
Milosc do kwadratu,2021,13,102 min,5.0,"Comedy, Romance","2,413",Not available
The Djinn,2021,R,82 min,4.7,"Horror, Thriller","2,408",61
 Cobra Kai,2018– ,A,34 min,8.5,"Action, Comedy, Drama","2,398",Not available
 Cobra Kai,2018– ,A,28 min,8.5,"Action, Comedy, Drama","2,392",Not available
The Year Earth Changed,2021,UA,48 min,8.3,Documentary,"2,369",Not available
Love Scandals & Doctors,2021– ,18,20 min,8.9,Thriller,"2,364",Not available
 Doctor Who,2005– ,U,71 min,5.9,"Adventure, Drama, Family","2,349",Not available
 Dracula,2021– ,"
Comedy, Drama            ",Not available,9.5,"Comedy, Drama","2,345",Not available
 Lucifer,2016– ,15,55 min,8.5,"Crime, Drama, Fantasy","2,344",Not available
Censor,2021,84 min,84 min,5.9,Horror,"2,335",67
Teddy,II 2021,U,136 min,6.6,"Animation, Action, Adventure","2,334",Not available
 Cobra Kai,2018– ,A,29 min,8.3,"Action, Comedy, Drama","2,320",Not available
 Shadow and Bone,2021– ,16,52 min,7.8,"Action, Adventure, Drama","2,318",Not available
 The Handmaid's Tale,2017– ,A,62 min,8.7,"Drama, Sci-Fi, Thriller","2,301",Not available
 Euphoria,2019– ,18+,49 min,8.8,Drama,"2,295",Not available
Happily,2021,R,96 min,5.3,"Comedy, Crime, Romance","2,294",58
Vitthal Teedi,2021– ,Not Rated,185 min,9.5,Drama,"2,289",Not available
 Shadow and Bone,2021– ,16,58 min,8.7,"Action, Adventure, Drama","2,273",Not available
 Lupin,2021– ,16,42 min,7.6,"Action, Crime, Drama","2,257",Not available
 Dracula,2021– ,"
Comedy, Drama            ",Not available,9.6,"Comedy, Drama","2,255",Not available
Kaadan,2021,UA,170 min,9.1,"Action, Drama, Fantasy","2,236",Not available
 The Expanse,2015– ,16+,54 min,7.6,"Drama, Mystery, Sci-Fi","2,235",Not available
Resident Evil Village,2021 Video Game,"
Action, Adventure, Fantasy            ",Not available,8.9,"Action, Adventure, Fantasy","2,222",Not available
22 vs. Earth,2021,9 min,9 min,6.5,"Animation, Short, Adventure","2,217",Not available
Bling Empire,2021– ,18,38 min,5.8,Reality-TV,"2,208",Not available
 Lupin,2021– ,16,43 min,7.7,"Action, Crime, Drama","2,184",Not available
Rebel,2021,"
Crime, Drama            ",Not available,7.0,"Crime, Drama","2,184",Not available
 Lupin,2021– ,16,47 min,7.6,"Action, Crime, Drama","2,175",Not available
"Batman: The Long Halloween, Part One",2021 Video,PG-13,85 min,7.5,"Animation, Action, Crime","2,168",Not available
 The Frog,2020–2021,44 min,44 min,8.5,"Crime, Drama, Mystery","2,157",Not available
Sir Alex Ferguson: Never Give In,2021,PG-13,130 min,8.4,Documentary,"2,155",68
 Dracula,2021– ,"
Comedy, Drama            ",Not available,9.6,"Comedy, Drama","2,148",Not available
 The Expanse,2015– ,16+,48 min,8.0,"Drama, Mystery, Sci-Fi","2,148",Not available
 Shadow and Bone,2021– ,16,48 min,7.9,"Action, Adventure, Drama","2,146",Not available
Gokushufudo,2021– ,16,16 min,7.3,"Animation, Action, Comedy","2,145",Not available
 Dracula,2021– ,"
Comedy, Drama            ",Not available,9.7,"Comedy, Drama","2,143",Not available
Fumetsu no Anata e,2021– ,Not Rated,25 min,9.1,"Animation, Adventure, Drama","2,142",Not available
 Dracula,2021– ,"
Comedy, Drama            ",Not available,9.8,"Comedy, Drama","2,140",Not available
 Rick and Morty,2013– ,16+,Not available,9.2,"Animation, Adventure, Comedy","2,138",Not available
Oslo,2021 TV Movie,118 min,118 min,6.6,"Drama, History, Thriller","2,136",54
 The Frog,2020–2021,46 min,46 min,8.5,"Crime, Drama, Mystery","2,130",Not available
One,II 2021,U,151 min,6.6,"Drama, Thriller","2,126",Not available
 Jujutsu Kaisen,2020– ,16,24 min,9.6,"Animation, Action, Adventure","2,118",Not available
Recalled,2021,99 min,99 min,7.0,"Drama, Mystery, Thriller","2,114",Not available
 Dracula,2021– ,"
Comedy, Drama            ",Not available,9.8,"Comedy, Drama","2,111",Not available
Sijipeuseu: The Myth,2021– ,13,70 min,7.1,"Action, Drama, Fantasy","2,111",Not available
Skater Girl,2021,7,107 min,6.7,"Drama, Family, Sport","2,108",Not available
 Star Wars: The Bad Batch,2021– ,PG,26 min,7.6,"Animation, Action, Adventure","2,104",Not available
 Line of Duty,2012– ,16,57 min,5.4,"Crime, Drama, Mystery","2,103",Not available
Wir Kinder vom Bahnhof Zoo,2021,"
Drama            ",Not available,6.3,Drama,"2,098",Not available
 Young Rock,2021– ,"
Comedy            ",Not available,9.1,Comedy,"2,097",Not available
Eeswaran,2021,U,125 min,4.7,"Action, Drama","2,090",Not available
Move to Heaven,2021– ,18,60 min,8.7,Drama,"2,076",Not available
Solos,2021– ,16,185 min,5.7,"Drama, Fantasy, Sci-Fi","2,072",Not available
 Shadow and Bone,2021– ,16,45 min,8.6,"Action, Adventure, Drama","2,068",Not available
 Boruto: Naruto Next Generations,2017– ,Not Rated,24 min,9.7,"Animation, Action, Adventure","2,068",Not available
 Superman and Lois,2021– ,44 min,44 min,8.4,"Action, Adventure, Drama","2,061",Not available
Kung Fu,2021– ,"
Action, Adventure, Drama            ",Not available,5.0,"Action, Adventure, Drama","2,060",Not available
 Boruto: Naruto Next Generations,2017– ,Not Rated,24 min,9.7,"Animation, Action, Adventure","2,054",Not available
Alma Matters - Inside the IIT Dream,2021,150 min,150 min,8.6,Documentary,"2,053",Not available
 Shadow and Bone,2021– ,16,51 min,8.1,"Action, Adventure, Drama","2,048",Not available
Peter Rabbit 2: The Runaway,2021,PG,93 min,6.2,"Animation, Adventure, Comedy","2,036",43
 Yakusoku no Neverland,2019–2021,23 min,23 min,2.6,"Animation, Adventure, Drama","2,021",Not available
 South Park,1997– ,18+,46 min,7.5,"Animation, Comedy","2,019",Not available
Xin shen bang: Ne Zha chong sheng,2021,118 min,118 min,6.9,"Animation, Action, Fantasy","2,014",Not available
The Lost Pirate Kingdom,2021– ,18,Not available,6.6,"Documentary, Adventure, Drama","2,011",Not available
Word of Honor,2021– ,45 min,45 min,9.2,"Action, Drama, Fantasy","2,010",Not available
The Power,II 2021,92 min,92 min,5.6,Horror,"2,008",60
 The Frog,2020–2021,50 min,50 min,7.9,"Crime, Drama, Mystery","2,008",Not available
 Castlevania,2017–2021,18,31 min,9.8,"Animation, Action, Adventure","2,006",Not available
 The Frog,2020–2021,44 min,44 min,8.3,"Crime, Drama, Mystery","1,998",Not available
Infinitum: Subject Unknown,2021,86 min,86 min,5.5,Sci-Fi,"1,995",Not available
Shuumatsu no Valkyrie,2021– ,24 min,24 min,6.2,"Animation, Action, Adventure","1,994",Not available
 One Piece: Wan pîsu,1999– ,7,Not available,9.6,"Animation, Action, Adventure","1,981",Not available
 The Expanse,2015– ,16+,52 min,7.8,"Drama, Mystery, Sci-Fi","1,980",Not available
 Re:Zero kara hajimeru isekai seikatsu,2016– ,16,30 min,9.8,"Animation, Adventure, Drama","1,979",Not available
Grahan,I 2021– ,18,Not available,8.9,"Action, Drama, Thriller","1,976",Not available
The Great Escapists,2021– ,13,Not available,5.7,"Documentary, Adventure, Comedy","1,961",Not available
Kid 90,2021,71 min,71 min,6.9,"Documentary, Biography, History","1,960",67
 The Frog,2020–2021,46 min,46 min,7.7,"Crime, Drama, Mystery","1,952",Not available
 The Frog,2020–2021,47 min,47 min,7.8,"Crime, Drama, Mystery","1,949",Not available
 Your Honor,2020–2021,18,59 min,7.3,"Crime, Drama, Thriller","1,937",Not available
Life in Colour,2021– ,7,59 min,8.3,Documentary,"1,936",Not available
 Shadow and Bone,2021– ,16,54 min,8.2,"Action, Adventure, Drama","1,934",Not available
Payback,2021,91 min,91 min,6.0,Thriller,"1,928",Not available
 The Handmaid's Tale,2017– ,A,58 min,9.0,"Drama, Sci-Fi, Thriller","1,921",Not available
 Lucifer,2016– ,15,53 min,8.6,"Crime, Drama, Fantasy","1,913",Not available
The Seventh Day,2021,16,87 min,4.4,"Horror, Mystery","1,908",43
 Star Wars: The Bad Batch,2021– ,PG,27 min,8.6,"Animation, Action, Adventure","1,902",Not available
 The Expanse,2015– ,16+,51 min,8.1,"Drama, Mystery, Sci-Fi","1,900",Not available
 Star Wars: The Bad Batch,2021– ,PG,23 min,7.4,"Animation, Action, Adventure","1,897",Not available
Jeet Ki Zid,2021– ,UA,40 min,8.5,"Action, Drama","1,895",Not available
B.A. Pass 3,2021,18,136 min,8.2,"Drama, Romance","1,890",Not available
Wild Dog,2021,UA,145 min,6.3,"Action, Adventure, Crime","1,885",Not available
 Lucifer,2016– ,15,59 min,9.0,"Crime, Drama, Fantasy","1,885",Not available
 Shadow and Bone,2021– ,16,52 min,8.4,"Action, Adventure, Drama","1,882",Not available
Marasli,2021– ,120 min,120 min,8.0,Drama,"1,882",Not available
 The Frog,2020–2021,48 min,48 min,8.0,"Crime, Drama, Mystery","1,879",Not available
 The Handmaid's Tale,2017– ,A,54 min,8.1,"Drama, Sci-Fi, Thriller","1,879",Not available
 The Frog,2020–2021,48 min,48 min,7.6,"Crime, Drama, Mystery","1,876",Not available
 Fear the Walking Dead,2015– ,16+,51 min,8.0,"Drama, Horror, Sci-Fi","1,876",Not available
Coyote,2021– ,290 min,290 min,6.8,"Crime, Drama, Thriller","1,876",Not available
The Yinyang Master,2021,113 min,113 min,6.4,"Action, Adventure, Drama","1,875",Not available
Cinema Bandi,2021,13,98 min,8.1,"Comedy, Drama","1,870",Not available
Nizhal,2021,U,118 min,6.4,"Drama, Mystery, Thriller","1,857",Not available
Last Chance U: Basketball,2021– ,16,Not available,8.4,"Documentary, Sport","1,857",Not available
 The Frog,2020–2021,54 min,54 min,7.7,"Crime, Drama, Mystery","1,849",Not available
You Belong to Me,2021,R,105 min,5.2,"Drama, Mystery, Thriller","1,847",32
 Star Wars: The Bad Batch,2021– ,PG,21 min,7.3,"Animation, Action, Adventure","1,844",Not available
 The Frog,2020–2021,45 min,45 min,7.8,"Crime, Drama, Mystery","1,840",Not available
Gibi,2021– ,30 min,30 min,8.5,Comedy,"1,837",Not available
Tokyo Revengers,2021– ,24 min,24 min,8.6,"Animation, Action, Drama","1,827",Not available
Sex/Life,2021– ,18,Not available,6.0,"Comedy, Drama, Romance","1,827",Not available
Mai Hero Boll Raha Hu,2021– ,A,Not available,8.9,"Action, Thriller","1,825",Not available
Born a Champion,2021,R,112 min,7.0,"Action, Drama, Sport","1,823",Not available
 Star Wars: The Bad Batch,2021– ,PG,24 min,9.1,"Animation, Action, Adventure","1,815",Not available
 The Frog,2020–2021,52 min,52 min,7.9,"Crime, Drama, Mystery","1,811",Not available
 The Frog,2020–2021,53 min,53 min,7.6,"Crime, Drama, Mystery","1,811",Not available
Red,I 2021,UA,146 min,6.7,"Action, Crime, Drama","1,811",Not available
 Jujutsu Kaisen,2020– ,16,24 min,9.3,"Animation, Action, Adventure","1,805",Not available
Trese,2021– ,18,33 min,7.2,"Animation, Action, Adventure","1,796",Not available
 Jujutsu Kaisen,2020– ,16,24 min,9.2,"Animation, Action, Adventure","1,793",Not available
 Resident Alien,2021– ,47 min,47 min,8.3,"Comedy, Drama, Mystery","1,777",Not available
 Lucifer,2016– ,15,61 min,8.5,"Crime, Drama, Fantasy","1,776",Not available
Bir Yeralti Sitcom'u,2021– ,"
Comedy            ",Not available,7.3,Comedy,"1,773",Not available
Mauseu,2021– ,16,80 min,8.8,"Action, Crime, Mystery","1,759",Not available
The Pursuit of Love,2021– ,"
Drama, Romance            ",Not available,6.6,"Drama, Romance","1,759",Not available
Ji hun,2021,18,130 min,6.7,"Drama, Mystery, Sci-Fi","1,753",Not available
The Great North,2021– ,21 min,21 min,6.5,"Animation, Comedy","1,739",Not available
 Young Rock,2021– ,"
Comedy            ",Not available,8.6,Comedy,"1,721",Not available
LOL: Last One Laughing Germany,2021– ,16,Not available,7.8,"Comedy, Reality-TV","1,718",Not available
 The Frog,2020–2021,71 min,71 min,7.3,"Crime, Drama, Mystery","1,706",Not available
Zombie Reddy,2021,UA,130 min,7.0,"Action, Comedy, Horror","1,704",Not available
Exterminate All the Brutes,2021,232 min,232 min,6.8,"Documentary, History","1,702",Not available
 One Piece: Wan pîsu,1999– ,7,24 min,9.3,"Animation, Action, Adventure","1,695",Not available
A Perfect Planet,2021,245 min,245 min,9.1,Documentary,"1,695",Not available
Dude,2021– ,Not Rated,32 min,9.3,"Drama, Mystery, Thriller","1,684",Not available
 Superman and Lois,2021– ,43 min,43 min,8.3,"Action, Adventure, Drama","1,680",Not available
Too Close,2021,143 min,143 min,6.7,"Crime, Drama, Thriller","1,678",Not available
Starstruck,2021– ,30 min,30 min,7.7,Comedy,"1,677",Not available
 Dracula,2021– ,"
Comedy, Drama            ",Not available,9.5,"Comedy, Drama","1,674",Not available
Wonder Egg Priority,2021– ,23 min,23 min,8.2,"Animation, Action, Drama","1,673",Not available
 Fear the Walking Dead,2015– ,16+,48 min,6.2,"Drama, Horror, Sci-Fi","1,668",Not available
 Jujutsu Kaisen,2020– ,16,24 min,9.1,"Animation, Action, Adventure","1,662",Not available
Doors,2021,84 min,84 min,3.3,Sci-Fi,"1,662",Not available
Twist,2021,R,90 min,4.0,"Action, Drama","1,661",Not available
 Fear the Walking Dead,2015– ,16+,51 min,8.5,"Drama, Horror, Sci-Fi","1,653",Not available
The Pact,2021– ,"
Thriller            ",Not available,6.8,Thriller,"1,653",Not available
High-Rise Invasion,2021– ,18,25 min,6.7,"Animation, Action, Horror","1,648",Not available
Homunculus,2021,115 min,115 min,5.6,"Drama, Fantasy, Mystery","1,644",Not available
 The Flash,2014– ,12+,42 min,8.5,"Action, Adventure, Drama","1,639",Not available
 The Handmaid's Tale,2017– ,A,41 min,7.7,"Drama, Sci-Fi, Thriller","1,637",Not available
The Upshaws,2021– ,16,Not available,6.9,Comedy,"1,630",Not available
Domina,2021– ,"
Drama, History            ",Not available,6.9,"Drama, History","1,624",Not available
 One Piece: Wan pîsu,1999– ,7,Not available,9.5,"Animation, Action, Adventure","1,621",Not available
 The Handmaid's Tale,2017– ,A,48 min,8.2,"Drama, Sci-Fi, Thriller","1,615",Not available
 The Handmaid's Tale,2017– ,A,47 min,8.8,"Drama, Sci-Fi, Thriller","1,614",Not available
Cypher,2021– ,"
Action, Crime, Drama            ",Not available,6.5,"Action, Crime, Drama","1,611",Not available
 The Flash,2014– ,12+,42 min,7.3,"Action, Adventure, Drama","1,607",Not available
 When Calls the Heart,2014– ,13,Not available,5.0,"Drama, Family, Romance","1,604",Not available
Douluo Continent,2021– ,13,38 min,9.0,"Action, Fantasy, Horror","1,604",Not available
Indori Ishq,2021– ,Not Rated,25 min,7.4,"Comedy, Drama, Romance","1,603",Not available
Gaali Sampath,2021,U,130 min,7.4,Drama,"1,600",Not available
Plan B,II 2021,107 min,107 min,6.7,Comedy,"1,596",74
Nenjam Marappathillai,2021,UA,150 min,6.4,"Horror, Thriller","1,594",Not available
Surviving Death,2021– ,13,50 min,6.1,"Documentary, Reality-TV","1,587",Not available
Ek Mini Katha,2021,A,134 min,7.4,"Comedy, Drama","1,584",Not available
 Black Clover,2017–2021,13,24 min,9.6,"Animation, Action, Adventure","1,583",Not available
 Walker,2021– ,13,42 min,6.9,"Action, Crime, Drama","1,574",Not available
Men in Kilts: A Roadtrip with Sam and Graham,2021– ,"
Documentary, Comedy, Reality-TV            ",Not available,8.8,"Documentary, Comedy, Reality-TV","1,573",Not available
Kevin Can F**k Himself,2021– ,"
Comedy, Drama            ",Not available,6.3,"Comedy, Drama","1,571",Not available
 The Handmaid's Tale,2017– ,A,45 min,8.2,"Drama, Sci-Fi, Thriller","1,569",Not available
Leonardo,2021– ,18,Not available,7.1,"Biography, Drama, History","1,566",Not available
 One Piece: Wan pîsu,1999– ,7,24 min,9.4,"Animation, Action, Adventure","1,561",Not available
Demi Lovato: Dancing with the Devil,2021,94 min,94 min,8.2,"Documentary, Music","1,558",Not available
 The Handmaid's Tale,2017– ,A,47 min,8.0,"Drama, Sci-Fi, Thriller","1,558",Not available
The Power,I 2021,UA,154 min,5.7,"Action, Crime, Drama","1,557",Not available
Just Say Yes,2021,97 min,97 min,4.5,"Comedy, Romance","1,554",Not available
Bad President,2021,90 min,90 min,5.2,"Comedy, Fantasy","1,553",Not available
Dad Stop Embarrassing Me,2021,13,25 min,4.2,"Comedy, Family","1,548",Not available
 Jupiter's Legacy,2021,18,47 min,7.2,"Action, Adventure, Drama","1,540",Not available
 Young Rock,2021– ,"
Comedy            ",Not available,8.5,Comedy,"1,534",Not available
